first_name,last_name,age,gender,income,city,signup_date,last_purchase_date,days_since_last_purchase,customer_prefix,customer_num,gender_label,age_scl,income_scl,days_scl,age_minmax,Income_minmax,Days_minmax,recency_score,income_log,income_sqrt,income_power,income_bin,frequent_buyer
Jasmine,Moore,28.0,Male,28771.96,Rosemouth,2023-06-17,2023-09-15,892,CUST,1010,1,-1.077223839474732,-1.4446495925980058,1.3820433839195485,0.1960784313725491,0.16731099056190965,0.8935779816513763,0.0011198208286674132,10.2671913362029,169.62299372431792,-1.4767427471941856,Low,0
David,Jones,28.0,Female,58931.02,North Markbury,2025-03-22,2025-06-20,248,CUST,1011,0,-1.077223839474732,0.47589814016924586,-0.655631332177865,0.1960784313725491,0.5909347983562694,0.30275229357798167,0.004016064257028112,10.98413985520138,242.7571214197433,0.4956191594874014,High,0
Franklin,Cruz,41.0,Male,18813.08,Lake Erikfurt,2025-03-17,2025-06-15,253,CUST,1012,1,-0.20826796635174433,-2.078837276328902,-0.6398108763075434,0.4509803921568628,0.02742537519567831,0.30733944954128445,0.003937007874015748,9.84236080467551,137.1607815667438,-2.2036213521753707,Low,0
Brenda,Fritz,53.0,Male,49677.88,New Terri,2023-11-04,2024-02-02,752,CUST,1013,1,0.5938451473002442,-0.11334758061840366,0.9390706195505456,0.6862745098039217,0.4609622328700008,0.7651376146788991,0.0013280212483399733,10.81333517206982,222.88535169454272,-0.08370286320107637,Medium,0
Matthew,Price,57.0,Female,40743.64,Port Kathleenbury,2023-08-11,2023-11-09,837,CUST,1014,0,0.8612161851842404,-0.6822855507009755,1.2080183693460118,0.7647058823529412,0.3354690388331615,0.843119266055046,0.0011933174224343676,10.615079576275356,201.85053876569168,-0.6623227500357202,Medium,0
Monica,Mullen,41.0,Male,31117.37,South Amy,2024-08-07,2024-11-05,475,CUST,1015,1,-0.20826796635174433,-1.2952924223841584,0.0626173643347327,0.4509803921568628,0.20025536996362073,0.5110091743119267,0.0021008403361344537,10.345553599028527,176.4011621276912,-1.312913990138988,Low,0
Eric,Donovan,20.0,Other,67832.02,Moralesmouth,2023-11-12,2024-02-10,744,CUST,1016,2,-1.6119659152427244,1.042719366340132,0.9137578901580312,0.03921568627450983,0.7159610927161599,0.7577981651376147,0.0013422818791946308,11.12480437602139,260.44581010260083,1.0372016440082006,Very High,0
Amy,Thomas,39.0,Male,49380.37,Thompsonstad,2024-11-01,2025-01-30,389,CUST,1017,1,-0.3419534852937424,-0.13229320279547335,-0.20949447663479767,0.4117647058823529,0.45678331220546764,0.43211009174311926,0.002564102564102564,10.807328506540234,222.21694354841622,-0.10264299648875394,Medium,0
Caroline,Sullivan,19.0,Female,52609.49,Larsonhaven,2025-09-07,2025-12-06,79,CUST,1018,0,-1.6788086747137234,0.07333917085388375,-1.1903627405947328,0.019607843137254943,0.502140565058339,0.14770642201834863,0.0125,10.870670808500146,229.36758707367525,0.10183546875910131,High,1
Melissa,Gordon,41.0,Female,63618.08,Stevenhaven,2023-05-15,2023-08-13,925,CUST,1019,0,-0.20826796635174433,0.774373041454103,1.4864583926636707,0.4509803921568628,0.6567707429964749,0.9238532110091744,0.0010799136069114472,11.060668704337212,252.22624764286527,0.7825496452014664,Very High,0
Allison,Gutierrez,61.0,Female,49868.14,Allenburgh,2025-03-08,2025-06-06,262,CUST,1020,0,1.1285872230682366,-0.10123170526829987,-0.6113340557409647,0.8431372549019608,0.46363468571405353,0.3155963302752294,0.0038022813688212928,10.817157653554899,223.3117551764797,-0.07160145750022279,Medium,0
James,Allen,47.0,Male,56771.17,Alanville,2025-10-20,2026-01-18,36,CUST,1021,1,0.19278859047424995,0.33835754637695437,-1.326418661079498,0.5686274509803921,0.5605968540945899,0.10825688073394496,0.02702702702702703,10.946801519848542,238.26701408294014,0.3619957300941022,High,1
Lance,Hicks,55.0,Female,62237.77,Williamshaven,2024-05-09,2024-08-07,565,CUST,1022,0,0.7275306662422423,0.686474040589488,0.3473855700005203,0.7254901960784313,0.6373824670310888,0.5935779816513762,0.0017667844522968198,11.0387333964462,249.47498872632502,0.6984680260403543,High,0
Shelly,Ballard,19.0,Female,58501.34,Melodytown,2024-07-17,2024-10-15,496,CUST,1023,0,-1.6788086747137234,0.44853585003767565,0.12906327899008313,0.019607843137254943,0.5848993755767438,0.5302752293577981,0.002012072434607646,10.97682203241997,241.87050254216615,0.4691090722714114,High,0
Paula,Rodriguez,38.0,Male,54289.7,Lake Christie,2025-06-28,2025-09-26,150,CUST,1024,1,-0.40879624476474147,0.18033599058476604,-0.965712267236167,0.3921568627450981,0.525741332393069,0.21284403669724772,0.006622516556291391,10.90210822053529,233.0015021410806,0.20731134071706328,High,0
Thomas,Mcclure,50.0,Other,76746.69,New Jamesberg,2025-09-29,2025-12-28,57,CUST,1025,2,0.3933168688872471,1.6104111066287297,-1.2599727464241475,0.6274509803921569,0.8411794002705116,0.12752293577981652,0.017241379310344827,11.248278567276628,277.0319295676944,1.566609473053511,Very High,1
Erik,Novak,29.0,Male,68629.56,West Lori,2024-12-26,2025-03-26,334,CUST,1026,1,-1.010381080003733,1.093507210483523,-0.38351949120833456,0.21568627450980393,0.727163594772534,0.381651376146789,0.0029850746268656717,11.136493195566315,261.9724412986984,1.0850648240391108,Very High,0
Amy,Robertson,39.0,Female,48713.55,Port Jameshaven,2024-11-10,2025-02-08,380,CUST,1027,0,-0.3419534852937424,-0.17475671588785283,-0.23797129720137644,0.4117647058823529,0.44741694510007923,0.42385321100917434,0.0026246719160104987,10.793733032415565,220.71146322744545,-0.14517084984305367,Medium,0
Henry,Johnson,61.0,Female,36354.61,West Andrew,2026-01-01,2026-04-01,-37,CUST,1028,0,1.1285872230682366,-0.9617817158847528,-1.5573973167861923,0.8431372549019608,0.2738193189438918,0.04128440366972477,-0.027777777777777776,10.5011038039284,190.66884905510915,-0.9549776973148365,Low,1
Ryan,Brown,42.0,Male,59579.35,Adamsstad,2025-09-16,2025-12-15,70,CUST,1029,1,-0.14142520688074528,0.5171841985405942,-1.2188395611613114,0.47058823529411764,0.600041449004775,0.13944954128440368,0.014084507042253521,10.995081100704533,244.0888158027729,0.5355520905937122,High,1
Elizabeth,Rodgers,66.0,Other,53237.91,Simsburgh,2025-11-20,2026-02-18,5,CUST,1030,2,1.4628010204232318,0.11335734801940572,-1.4245054874754914,0.9411764705882354,0.5109675534755554,0.0798165137614679,0.16666666666666666,10.882544798971143,230.73341760568624,0.14135642281805802,High,1
Joy,Jenkins,44.0,Female,75634.93,Hatfieldport,2023-08-03,2023-11-01,845,CUST,1031,0,-0.007739687938747193,1.5396135370963457,1.2333310987385262,0.5098039215686275,0.825563263542329,0.8504587155963304,0.001182033096926714,11.233686713815464,275.01805395282685,1.5012316074981935,Very High,0
Andrea,Kennedy,59.0,Female,64812.4,West Mary,2023-03-25,2023-06-23,976,CUST,1032,0,0.9949017041262385,0.8504280832292308,1.6478270425409502,0.8039215686274509,0.6735465439042273,0.9706422018348624,0.0010235414534288639,11.079267651085692,254.5827959623352,0.8550306456346841,Very High,0
Billy,Thomas,45.0,Female,61463.07,West Kristen,2024-01-07,2024-04-06,688,CUST,1033,0,0.059103071532251854,0.6371406618775923,0.73656878441043,0.5294117647058824,0.626500782923617,0.7064220183486238,0.001451378809869376,11.026208055424865,247.91746610515364,0.6511268848681495,High,0
Heather,Moore,33.0,Male,,South Kristinburgh,2026-01-19,2026-04-19,-55,CUST,1034,1,-0.7430100421197366,,-1.6143509579193498,0.2941176470588236,,0.024770642201834864,-0.018518518518518517,,,,,1
Alex,Stout,32.0,Female,36864.52,New Danielleland,2025-09-04,2025-12-03,82,CUST,1035,0,-0.8098528015907357,-0.9293103293622503,-1.1808704670725398,0.27450980392156865,0.28098167797737694,0.15045871559633028,0.012048192771084338,10.51503197584441,192.00135416189124,-0.9206565961931841,Low,1
Joel,Tran,64.0,Other,47030.56,Alvarezmouth,2025-04-25,2025-07-24,214,CUST,1036,2,1.3291155014812337,-0.28193056775094033,-0.7632104320960513,0.9019607843137255,0.4237771289957367,0.27155963302752295,0.004651162790697674,10.75857414470579,216.86530381783066,-0.25298870269179446,Medium,0
Lisa,Perez,68.0,Female,57152.42,North Margaretville,2025-01-22,2025-04-22,307,CUST,1037,0,1.5964865393652299,0.3626357839320212,-0.46894995290807084,0.9803921568627451,0.5659520135962985,0.3568807339449542,0.003246753246753247,10.953494509952149,239.06572318088595,0.38564965234855375,High,0
Leslie,Bryant,61.0,Female,24056.3,East Jessica,2023-10-16,2024-01-14,771,CUST,1038,0,1.1285872230682366,-1.7449457597033873,0.9991883518577674,0.8431372549019608,0.1010733211695761,0.7825688073394497,0.0012953367875647669,10.088193763780225,155.1009348779046,-1.8139167716501157,Low,0
Susan,Hopkins,69.0,Other,68625.71,New Tonya,2024-11-03,2025-02-01,387,CUST,1039,2,1.663329298836229,1.093262040084607,-0.2158226589829263,1.0,0.7271095164405169,0.4302752293577982,0.002577319587628866,11.13643709653417,261.96509309448084,1.0848340190422239,Very High,0
Isabella,Robinson,20.0,Female,,New Christopher,2025-03-16,2025-06-14,254,CUST,1040,0,-1.6119659152427244,,-0.636646785133479,0.03921568627450983,,0.30825688073394497,0.00392156862745098,,,,,0
Isaac,Gordon,54.0,Male,20825.91,South Lisashire,2025-02-23,2025-05-24,275,CUST,1041,1,0.6606879067712432,-1.9506590077440755,-0.5702008704781286,0.7058823529411765,0.05569822949029887,0.32752293577981656,0.0036231884057971015,9.944001179516,144.31184982530021,-2.051910480949073,Low,0
Jamie,Brown,68.0,Male,28996.77,New Anthony,2024-03-24,2024-06-22,611,CUST,1042,1,1.5964865393652299,-1.4303335517199611,0.4929337640074784,0.9803921568627451,0.17046874376211715,0.6357798165137616,0.0016339869281045752,10.274974209460195,170.28437978863477,-1.4609358117995,Low,0
Brian,Cardenas,24.0,Male,53444.94,North Stephaniechester,2023-03-11,2023-06-09,990,CUST,1043,1,-1.3445948773587282,0.12654114741881678,1.6921243189778505,0.11764705882352944,0.5138755631060833,0.9834862385321101,0.0010090817356205853,10.886425954728136,231.18161691622456,0.15435755286589636,High,0
Cheryl,Collins,38.0,Other,41261.29,Grahamchester,2023-04-07,2023-07-06,963,CUST,1044,2,-0.40879624476474147,-0.6493212761557154,1.6066938572781144,0.3921568627450981,0.34274011638348134,0.9587155963302754,0.001037344398340249,10.62770428678164,203.12875227303496,-0.6282006371060816,Medium,0
Douglas,Luna,26.0,Female,53913.6,Jeffreyview,2023-07-13,2023-10-11,866,CUST,1045,0,-1.21090935841673,0.15638570823863984,1.2997770133938766,0.1568627450980392,0.5204585114393835,0.8697247706422018,0.0011534025374855825,10.895156592203053,232.19302315099821,0.1837543990574501,High,0
Tonya,Kim,56.0,Male,48924.89,Jasonborough,2025-08-24,2025-11-22,93,CUST,1046,1,0.7943734257132413,-0.16129845300290135,-1.1460654641578325,0.7450980392156864,0.45038549436982633,0.16055045871559634,0.010638297872340425,10.798061983207662,221.1897149507635,-0.13168065237099932,Medium,0
Ryan,Hensley,35.0,Other,34642.72,New Tiffany,2025-02-02,2025-05-03,296,CUST,1047,2,-0.6093245231777386,-1.070795937755293,-0.5037549558227782,0.33333333333333337,0.24977356419141986,0.3467889908256881,0.003367003367003367,10.452871747210677,186.12554902538233,-1.0708601456588778,Low,0
Kevin,Franco,21.0,Female,69326.1,Williamport,2025-04-06,2025-07-05,233,CUST,1048,0,-1.5451231557717253,1.1378633116942942,-0.7030926997888295,0.05882352941176472,0.7369474185084558,0.28899082568807344,0.004273504273504274,11.1465911621276,263.2984998058288,1.1267828410955978,Very High,0
Nathan,Miller,42.0,Other,56967.75,Lake Charleshaven,2024-07-18,2024-10-16,495,CUST,1049,2,-0.14142520688074528,0.35087588326502017,0.12589918781601883,0.47058823529411764,0.5633580796810709,0.5293577981651376,0.0020161290322580645,10.950258150861073,238.67917797746833,0.3741958002786054,High,0
Stephen,Scott,31.0,Male,41603.87,New Michaelstad,2025-02-09,2025-05-10,289,CUST,1050,1,-0.8766955610617347,-0.6275055682957421,-0.5259035940412283,0.2549019607843137,0.3475521046906167,0.3403669724770642,0.0034482758620689655,10.635972506705205,203.97026744111506,-0.6056620687143777,Medium,0
Jennifer,Kidd,67.0,Male,72575.38,Arnoldborough,2024-08-10,2024-11-08,472,CUST,1051,1,1.5296437798942308,1.3447794867052518,0.05312509081253977,0.9607843137254902,0.7825878451726177,0.5082568807339449,0.0021141649048625794,11.192394803524314,269.3981811371413,1.3203875984983056,Very High,0
Courtney,Perez,26.0,Male,42373.91,South Denise,2023-12-19,2024-03-18,707,CUST,1052,1,-1.21090935841673,-0.5784689412874701,0.7966865167176518,0.1568627450980392,0.35836833294686765,0.7238532110091744,0.0014124293785310734,10.65431172078669,205.8492409507502,-0.5551248402430535,Medium,0
Christina,Harrington,43.0,Other,31372.39,Port Dianaview,2024-05-13,2024-08-11,561,CUST,1053,2,-0.07458244740974623,-1.2790525898824059,0.3347292053042631,0.4901960784313726,0.2038374624911636,0.5899082568807339,0.0017793594306049821,10.353715360376404,177.1225282114051,-1.2952405722750744,Low,0
Nicholas,David,19.0,Other,52752.68,North Matthew,2025-11-04,2026-02-02,21,CUST,1054,2,-1.6788086747137234,0.08245759927489381,-1.3738800286904624,0.019607843137254943,0.5041518576197808,0.0944954128440367,0.045454545454545456,10.873388811938161,229.67951584762625,0.11084821723218283,High,1
Geoffrey,Hammond,37.0,Male,55297.36,West Jeffrey,2025-10-04,2026-01-02,52,CUST,1055,1,-0.4756390042357405,0.2445044072529333,-1.275793202294469,0.37254901960784315,0.5398952472087849,0.12293577981651377,0.018867924528301886,10.920498530651136,235.15390704812881,0.27027847169073765,High,1
Alexandra,Robbins,45.0,Other,57978.75,Steveton,2023-07-05,2023-10-03,874,CUST,1056,2,0.059103071532251854,0.41525699321432535,1.325089742786391,0.5294117647058824,0.5775589092056018,0.8770642201834862,0.001142857142857143,10.967849090634685,240.7877696229607,0.4368182768704543,High,0
Charles,Gutierrez,,Male,60445.27,New Johnshire,2023-10-03,2024-01-01,784,CUST,1057,1,,0.5723265236912393,1.0403215371206034,,0.6122044384230556,0.7944954128440367,0.0012738853503184713,11.009510150251666,245.85619780676672,0.5887625783064169,High,0
Eric,Robinson,24.0,Male,57741.87,South Rhondaburgh,2026-01-28,2026-04-28,-64,CUST,1058,1,-1.3445948773587282,0.40017232721552093,-1.6428277784859289,0.11764705882352944,0.5742316169229402,0.01651376146788991,-0.015873015873015872,10.963755157558369,240.2953807296345,0.42216383663180046,High,1
Trevor,Robinson,61.0,Female,57132.4,Novakland,2023-08-14,2023-11-12,834,CUST,1059,0,1.1285872230682366,0.36136089785765435,1.1985260958238189,0.8431372549019608,0.5656708062698088,0.8403669724770642,0.0011976047904191617,10.95314416333817,239.02384818256107,0.38440827479872586,High,0
David,Stewart,25.0,Other,41393.69,Tonyafurt,2024-09-13,2024-12-12,438,CUST,1060,2,-1.2777521178877291,-0.6408899616579032,-0.054454009105646656,0.13725490196078433,0.34459984915207476,0.47706422018348627,0.002277904328018223,10.630907890717712,203.45439292381965,-0.6194858798578762,Medium,0
Frank,Smith,64.0,Male,39788.84,East Lindseystad,2025-12-01,2026-03-01,-6,CUST,1061,1,1.3291155014812337,-0.7430878096323273,-1.4593104903901988,0.9019607843137255,0.32205761249288245,0.06972477064220184,-0.2,10.591366882302058,199.471401458956,-0.7254713213230277,Low,1
Douglas,Rose,52.0,Male,61135.47,Kyliestad,2023-08-30,2023-11-28,818,CUST,1062,1,0.5270023878292451,0.6162788897515862,1.1479006370387899,0.6666666666666666,0.6218992084901488,0.8256880733944953,0.001221001221001221,11.020863857435199,247.25587960653232,0.6310745569891127,High,0
Diana,Lee,31.0,Other,53651.85,North Michellefurt,2025-06-29,2025-09-27,149,CUST,1063,2,-0.8766955610617347,0.13971730514345623,-0.9688763584102312,0.2549019607843137,0.5167818871782105,0.21192660550458717,0.006666666666666667,10.890289868735522,231.62868993283195,0.16734187918153565,High,0
James,Simmons,34.0,Female,62303.69,Port Melissa,2025-12-11,2026-03-11,-16,CUST,1064,0,-0.6761672826487376,0.6906718672639278,-1.4909514021308419,0.3137254901960784,0.6383084004457843,0.060550458715596334,-0.06666666666666667,11.039791982840956,249.60707121393818,0.7024913019328812,High,1
Brandon,Daniels,53.0,Female,24390.84,Port Jacobside,2025-08-29,2025-11-27,88,CUST,1065,0,0.5938451473002442,-1.7236420440530997,-1.161885920028154,0.6862745098039217,0.10577237706387535,0.1559633027522936,0.011235955056179775,10.102003929118863,156.1756703203159,-1.789619273366398,Low,1
Sandra,Rodriguez,67.0,Male,42488.2,Tranburgh,2024-04-07,2024-07-06,597,CUST,1066,1,1.5296437798942308,-0.5711908828739135,0.4486364875705781,0.9607843137254902,0.35997368686017983,0.6229357798165138,0.0016722408026755853,10.657005204972089,206.12666009034348,-0.5476385468791317,Medium,0
Whitney,Williams,57.0,Other,78605.28,Port Darlene,2023-03-18,2023-06-16,983,CUST,1067,2,0.8612161851842404,1.7287672759073438,1.6699756807594004,0.7647058823529412,0.8672857501676409,0.9770642201834863,0.0010162601626016261,11.272206873444436,280.3663317875383,1.6755175073667743,Very High,0
Anthony,Brooks,21.0,Female,58288.0,Kelleyborough,2023-07-24,2023-10-22,855,CUST,1068,0,-1.5451231557717253,0.43495022590653365,1.2649720104791693,0.05882352941176472,0.5819027336669877,0.8596330275229358,0.0011682242990654205,10.973168675291133,241.42907861316127,0.45593325665954415,High,0
Lisa,Mason,19.0,Other,54433.26,Lake David,2024-06-11,2024-09-09,532,CUST,1069,2,-1.6788086747137234,0.1894779808363215,0.24297056125639818,0.019607843137254943,0.5277578220929124,0.5633027522935781,0.001876172607879925,10.904749014027967,233.30936543568072,0.21629525252429718,High,0
Kayla,Mitchell,23.0,Other,60618.87,Lake Kurt,2023-08-14,2023-11-12,834,CUST,1070,2,-1.4114376368297272,0.5833814798605763,1.1985260958238189,0.09803921568627455,0.6146428795758336,0.8403669724770642,0.0011976047904191617,11.01237800610273,246.20899658623364,0.5994132831822373,High,0
Elizabeth,Myers,59.0,Male,83126.76,Stonetown,2025-02-11,2025-05-12,287,CUST,1071,1,0.9949017041262385,2.0166979396200877,-0.5322317763893569,0.8039215686274509,0.9307959051415041,0.33853211009174317,0.003472222222222222,11.328133980414467,288.31711707770665,1.938511877375958,Very High,0
Denise,Swanson,21.0,Female,79970.74,Lake Patriciastad,2023-04-18,2023-07-17,952,CUST,1072,0,-1.5451231557717253,1.815720619518994,1.5718888543634069,0.05882352941176472,0.8864654382809604,0.9486238532110092,0.001049317943336831,11.28942860124854,282.79098288311815,1.7552270950372348,Very High,0
Gabrielle,Kemp,46.0,Male,26307.19,Juanshire,2024-06-18,2024-09-16,525,CUST,1073,1,0.1259458310032509,-1.6016076819845033,0.22082192303794804,0.5490196078431373,0.1326900424044636,0.5568807339449542,0.0019011406844106464,10.177635576532914,162.1949136070549,-1.651588380606063,Low,0
Adam,Rivera,35.0,Female,31842.48,East Kathy,2024-08-27,2024-11-25,455,CUST,1074,0,-0.6093245231777386,-1.2491169657715564,-0.0006644591465534397,0.33333333333333337,0.21044049706207038,0.49266055045871565,0.0021929824561403508,10.368587930468307,178.44461325576628,-1.2627314849410243,Low,0
Carol,Caldwell,43.0,Female,25798.84,Tammyshire,2025-04-13,2025-07-12,226,CUST,1075,0,-0.07458244740974623,-1.6339797267349774,-0.7252413380072796,0.4901960784313726,0.1255495956301854,0.28256880733944956,0.004405286343612335,10.158123569340091,160.6201730792244,-1.6880177176413822,Low,0
Shawn,Spears,61.0,Female,38793.38,Nunezside,2025-08-02,2025-10-31,115,CUST,1076,0,1.1285872230682366,-0.8064793226987322,-1.0764554583284176,0.8431372549019608,0.3080750627812212,0.18073394495412845,0.008620689655172414,10.566030669759437,196.9603513400603,-0.791607165069284,Low,0
Susan,Carson,51.0,Female,50823.79,Greenburgh,2024-05-07,2024-08-05,567,CUST,1077,0,0.46015962835824614,-0.040375317807317096,0.3537137523486489,0.6470588235294118,0.4770580514263364,0.5954128440366973,0.0017605633802816902,10.836139506663121,225.4413227427483,-0.010945606840638986,Medium,0
Joshua,Green,,Female,53630.23,Williamfurt,2024-01-11,2024-04-10,684,CUST,1078,0,,0.13834053007213706,0.7239124197141728,,0.5164782057397136,0.7027522935779817,0.00145985401459854,10.889886826638453,231.58201570933784,0.16598558077922426,High,0
Robin,Alexander,53.0,Other,27042.82,Williamsmouth,2024-06-26,2024-09-24,517,CUST,1079,2,0.5938451473002442,-1.5547623052169393,0.19550919364543357,0.6862745098039217,0.14302293678936037,0.5495412844036698,0.0019305019305019305,10.205213792368273,164.44701274270687,-1.5991002033546349,Low,0
William,Brady,31.0,Male,21989.72,North Dawnberg,2025-01-10,2025-04-10,319,CUST,1080,1,-0.8766955610617347,-1.876546861779584,-0.43098085881929915,0.2549019607843137,0.07204547717471463,0.3678899082568808,0.003125,9.998375825168319,148.28931181983415,-1.965434766208581,Low,0
Walter,Greene,48.0,Other,38528.13,Dannyport,2024-07-16,2024-10-14,497,CUST,1081,2,0.259631349945249,-0.8233706079747493,0.13222737016414743,0.5882352941176471,0.3043492764000325,0.5311926605504587,0.002008032128514056,10.559169857557334,196.28583749216344,-0.8092822000673532,Low,0
Emily,Jackson,65.0,Female,63742.57,North Alexis,2023-03-02,2023-05-31,999,CUST,1082,0,1.3959582609522327,0.7823006422232315,1.7206011395444292,0.9215686274509803,0.6585193693738327,0.9917431192660551,0.001,11.062623595188585,252.47290943782463,0.7901163351929865,Very High,0
Melissa,Shannon,32.0,Male,66355.44,Ashleychester,2023-08-08,2023-11-06,840,CUST,1083,1,-0.8098528015907357,0.9486898318901367,1.2175106428682045,0.27450980392156865,0.6952205775239425,0.8458715596330275,0.0011890606420927466,11.102796096090175,257.5954968550499,0.9483117938479332,Very High,0
Michael,Clark,25.0,Female,75587.37,West Carla,2025-02-10,2025-05-11,288,CUST,1084,0,-1.2777521178877291,1.5365848866619354,-0.5290676852152927,0.13725490196078433,0.824895220562916,0.3394495412844037,0.0034602076124567475,11.233057714354821,274.931573305068,1.4984308738278789,Very High,0
Douglas,Owen,31.0,Male,49515.05,Frankland,2023-03-19,2023-06-17,982,CUST,1085,1,-0.8766955610617347,-0.12371669647700406,1.666811589585336,0.2549019607843137,0.4586750705836712,0.9761467889908257,0.001017293997965412,10.81005213842581,222.51977440218656,-0.09406637787013453,Medium,0
John,Miranda,40.0,Other,62422.3,Poolehaven,2023-03-28,2023-06-26,973,CUST,1086,2,-0.2751107258227434,0.6982250259692563,1.6383347690187573,0.43137254901960786,0.6399744344615159,0.9678899082568808,0.001026694045174538,11.041693882097944,249.84455167163443,0.7097284166693746,Very High,0
Taylor,Miller,,Male,65148.42,West Kathleen,2023-04-12,2023-07-11,958,CUST,1087,1,,0.8718260462016989,1.5908734014077928,,0.678266388352133,0.9541284403669725,0.0010427528675703858,11.084438679980746,255.24188527747557,0.8753785410412063,Very High,0
Tammy,Walker,38.0,Male,42547.11,Rileychester,2025-01-23,2025-04-23,306,CUST,1088,1,-0.40879624476474147,-0.5674394573673717,-0.47211404408213514,0.3921568627450981,0.36080115557164383,0.3559633027522936,0.003257328990228013,10.658390714683621,206.26950816831848,-0.5437812375876272,Medium,0
Felicia,Hernandez,33.0,Male,55817.67,Port Brittneyberg,2024-08-12,2024-11-10,470,CUST,1089,1,-0.7430100421197366,0.2776380722556265,0.04679690846441116,0.2941176470588236,0.5472036879703167,0.5064220183486239,0.0021231422505307855,10.929863680221002,236.25763479726956,0.3027089294705058,High,0
Sharon,Day,62.0,Male,59880.58,Sandrafurt,2023-11-09,2024-02-07,747,CUST,1090,1,1.1954299825392356,0.5363667126355787,0.9232501636802241,0.8627450980392156,0.604272621979725,0.7605504587155965,0.001336898395721925,11.000124224291001,244.70508780979605,0.5540786310173209,High,0
Jenny,Blanchard,35.0,Male,36362.64,Port Jacquelinetown,2023-09-16,2023-12-15,801,CUST,1091,1,-0.6093245231777386,-0.9612703604812979,1.0941110870796966,0.33333333333333337,0.27393211089352776,0.810091743119266,0.0012468827930174563,10.501324653291743,190.68990534372816,-0.9544365284111795,Low,0
Ryan,Garcia,64.0,Female,74631.44,South Amberton,2024-10-27,2025-01-25,394,CUST,1092,0,1.3291155014812337,1.4757106686264865,-0.19367402076447615,0.9019607843137255,0.811467921881032,0.43669724770642204,0.002531645569620253,11.2203305442178,273.18755462136266,1.442068476094786,Very High,0
Joseph,Brown,41.0,Male,49417.82,Lake Patriciashire,2024-09-28,2024-12-27,423,CUST,1093,1,-0.20826796635174433,-0.12990836346055615,-0.10191537671661126,0.4509803921568628,0.4573093468896354,0.46330275229357804,0.0023584905660377358,10.808086602284655,222.30119207957478,-0.10025769381281593,Medium,0
